Micah Groth
Harry Chace
Jason Lawson
Dennis Augustsson
Onni Arminen
Mauri Villmann
Hjalte Jensen
Mathias Villota
Niilo Hongisto
Eetu Tuominen
Samuel Hänninen
Roland Kõur
Nicholas Gill
Noah Meintsma
Jakub Knápek
Daniel Davidsson
Morten Brenna
Aapo Karhi
Lenni Kemppainen
Fredy Meza
Teemu Lampainen
Austen Bates
Onni Ruusunen
Calvin Lonnquist
Teemu Talikainen
